set,z,conc
1,0.25,566.0113238796633
2,0.25,0.0
1,0.5,680.8874119686004
2,0.5,0.0
1,0.75,684.0756468505137
2,0.75,1.3284312007971915
1,1.0,657.7727090747294
2,1.0,0.0
1,1.25,650.0678081101056
2,1.25,0.0
1,1.5,708.518780945182
2,1.5,0.0
1,1.75,717.7845885707425
2,1.75,0.0
1,2.0,730.4046849783158
2,2.0,0.0
1,2.25,704.6995412428902
2,2.25,0.0
1,2.5,576.2070333457818
2,2.5,0.0
1,2.75,527.9185591968039
2,2.75,0.0
1,3.0,509.9183164260019
2,3.0,0.13284312007971916
1,3.25,471.89197330318234
2,3.25,0.0
1,3.5,438.81403640333224
2,3.5,0.0
1,3.75,427.7216358766757
2,3.75,0.0
1,4.0,361.7982375371151
2,4.0,0.0
1,4.25,372.2928440234129
2,4.25,0.0
1,4.5,363.0934579578923
2,4.5,0.0
1,4.75,335.36245664125096
2,4.75,0.0
1,5.0,258.04776075485444
2,5.0,0.0
1,5.25,234.10278836048505
2,5.25,0.0
1,5.5,280.69751272844655
2,5.5,0.0
1,5.75,253.8632024723433
2,5.75,0.0
1,6.0,264.52386285874076
2,6.0,0.0
1,6.25,320.8161349925217
2,6.25,0.0
1,6.5,297.43574585849115
2,6.5,0.0
1,6.75,253.36504077204432
2,6.75,0.0
1,7.0,175.75144786546844
2,7.0,0.0
1,7.25,176.98024672620582
2,7.25,0.0
1,7.5,155.3268181532116
2,7.5,0.0
1,7.75,146.92449080816937
2,7.75,0.0
1,8.0,148.08686810886692
2,8.0,0.0
1,8.25,139.8173838839044
2,8.25,0.0
1,8.5,143.0388295458376
2,8.5,0.0
1,8.75,96.31126205779638
2,8.75,0.0
1,9.0,84.68748905082096
2,9.0,0.0
1,9.25,92.35917923542473
2,9.25,0.0
1,9.5,77.34790666641648
2,9.5,0.0
1,9.75,84.88675373094053
2,9.75,0.0
1,10.0,85.71702323143877
2,10.0,0.0
1,10.25,100.86113892052676
2,10.25,0.0
1,10.5,69.07842244145395
2,10.5,0.0
1,10.75,48.28847414897791
2,10.75,0.0
1,11.0,33.77536328026859
2,11.0,0.0
1,11.25,29.325118757598002
2,11.25,0.0
1,11.5,25.771565295465514
2,11.5,0.0
1,11.75,34.07426030044796
2,11.75,0.0
1,12.0,31.28455477877386
2,12.0,0.0
1,12.25,29.059432517438562
2,12.25,0.0
1,12.5,19.9596787919778
2,12.5,0.0
1,12.75,20.09252191205752
2,12.75,0.0
1,13.0,28.262373796960247
2,13.0,0.0
1,13.25,39.32156354359687
2,13.25,0.0
1,13.5,18.930144611359978
2,13.5,0.0
1,13.75,22.350854953412746
2,13.75,0.0
1,14.0,10.99276818659676
2,14.0,0.0
1,14.25,13.749262928250932
2,14.25,0.0
1,14.5,16.173649869705805
2,14.5,0.0
1,14.75,22.450487293472534
2,14.75,0.0
1,15.0,23.944972394369376
2,15.0,0.0
1,15.25,23.31396757399071
2,15.25,0.0
1,15.5,17.967031990782015
2,15.5,0.0
1,15.75,17.734556530642507
2,15.75,0.0
1,16.0,19.195830851519418
2,16.0,0.0
1,16.25,12.55367484753346
2,16.25,0.0
1,16.5,10.394974146238024
2,16.5,0.0
1,16.75,13.018625767812477
2,16.75,0.0
1,17.0,22.94864899377148
2,17.0,0.0
1,17.25,15.874752849526438
2,17.25,0.0
1,17.5,18.332350571001243
2,17.5,0.0
1,17.75,18.398772131041103
2,17.75,0.0
1,18.0,10.693871166417392
2,18.0,0.0
1,18.25,8.335905785002376
2,18.25,0.0
1,18.5,10.760292726457251
2,18.5,0.0
1,18.75,5.413357143248555
2,18.75,0.0
1,19.0,3.852450482311855
2,19.0,0.0
1,19.25,5.6458326033880635
2,19.25,0.0
1,19.5,7.239950044344694
2,19.5,0.0
1,19.75,6.2436266437468
2,19.75,0.0
1,20.0,0.0
2,20.0,0.0
1,20.25,0.0
2,20.25,0.0
1,20.5,0.0
2,20.5,0.0
1,20.75,0.6974263804185254
2,20.75,0.0
1,21.0,3.9520828223716444
2,21.0,0.0
1,21.25,3.9520828223716444
2,21.25,0.0
1,21.5,5.977940403587361
2,21.5,0.0
1,21.75,14.280635408569808
2,21.75,0.0
1,22.0,21.78627169307394
2,22.0,0.0
1,22.25,25.472668275286146
2,22.25,0.0
1,22.5,17.634924190582716
2,22.5,0.0
1,22.75,11.690194567015284
2,22.75,0.0
1,23.0,7.239950044344694
2,23.0,0.0
1,23.25,4.118136722471293
2,23.25,0.0
1,23.5,0.7970587204783148
2,23.5,0.0
1,23.75,3.3542887820129086
2,23.75,0.0
1,24.0,3.3542887820129086
2,24.0,0.0
1,24.25,2.8229163016940317
2,24.25,0.0
1,24.5,0.0
2,24.5,0.0
1,24.75,0.0
2,24.75,0.0
1,25.0,1.2952204207772617
2,25.0,0.0
1,25.25,7.83774408470343
2,25.25,0.0
1,25.5,7.638479404583851
2,25.5,0.0
1,25.75,3.918872042351715
2,25.75,0.0
1,26.0,1.0295341806178233
2,26.0,0.0
