set,z,conc
1,0.25,513.4386591
1,0.5,517.8822615
1,0.75,539.1570871
1,1,533.1990732
1,1.25,522.8306677
1,1.5,499.7159648
1,1.75,482.9445209
1,2,476.0566051
1,2.25,443.7956534
1,2.5,406.9715405
1,2.75,381.2265438
1,3,381.9638231
1,3.25,385.0723522
1,3.5,351.9147094
1,3.75,315.9872876
1,4,313.5828271
1,4.25,309.7104502
1,4.5,269.6582494
1,4.75,204.9038706
1,5,187.594412
1,5.25,203.1104884
1,5.5,191.5398527
1,5.75,169.4878948
1,6,148.3326279
1,6.25,144.2742706
1,6.5,120.2761609
1,6.75,112.0996669
1,7,97.3142276
1,7.25,81.81143549
1,7.5,69.77584881
1,7.75,68.03560395
1,8,60.74915881
1,8.25,45.98364602
1,8.5,42.76220035
1,8.75,37.63445592
1,9,31.28455478
1,9.25,23.75234987
1,9.5,17.03713015
1,9.75,17.18989974
1,10,19.10284067
1,10.25,15.80168913
1,10.5,8.893846889
1,10.75,7.585342157
1,11,6.708577564
1,11.25,4.616298423
1,11.5,2.922548642
1,11.75,5.579411043
2,0.25,0
2,0.5,0
2,0.75,0
2,1,0
2,1.25,0
2,1.5,0
2,1.75,0
2,2,0
2,2.25,0
2,2.5,0
2,2.75,0.159411744
2,3,0
2,3.25,0
2,3.5,0
2,3.75,0
2,4,0
2,4.25,0
2,4.5,0
2,4.75,0
2,5,0
2,5.25,0
2,5.5,0
2,5.75,0
2,6,0
2,6.25,0
2,6.5,0
2,6.75,0
2,7,0
2,7.25,0.670857756
2,7.5,0.325465644
2,7.75,0
2,8,0
2,8.25,0
2,8.5,0
2,8.75,0
2,9,0
2,9.25,0
2,9.5,0
2,9.75,0
2,10,0
2,10.25,0
2,10.5,0
2,10.75,0
2,11,0
2,11.25,0
2,11.5,0
